method,severity,column,rmse,mae,r2,computation_time_sec
temporal_seasonal,50,PM10,90.8233853287188,67.62621454015306,0.016340934785653793,0.46741240000119433
temporal_seasonal,50,SO2,21.206672126592732,14.15497368312953,0.009010226173610358,0.46741240000119433
temporal_seasonal,50,NO2,32.607219205522696,25.451208967959417,0.1329659766430329,0.46741240000119433
temporal_seasonal,50,CO,1149.539480499322,787.4059756176373,0.01393604254712777,0.46741240000119433
temporal_seasonal,50,O3,50.08615526013594,37.94350577765034,0.21972521967754177,0.46741240000119433
spatial_idw,10,PM2.5,25.97109332622603,14.324236750274085,0.8935874022914991,1.690094899997348
spatial_idw,10,PM10,36.13379044762405,22.24574996262915,0.8489608169386266,1.690094899997348
spatial_idw,10,SO2,9.242002203576442,4.7414072615132765,0.8122718715972642,1.690094899997348
spatial_idw,10,NO2,18.536617512549647,13.039355577908216,0.7184466239176588,1.690094899997348
spatial_idw,10,CO,478.00268532671873,266.4873889498926,0.8280684826526239,1.690094899997348
spatial_idw,10,O3,18.976685107086844,11.58631082283461,0.8865631402893587,1.690094899997348
spatial_idw,20,PM2.5,25.618044497754294,14.342704608589967,0.8961179989017151,1.8585339999990538
spatial_idw,20,PM10,36.19423276807437,22.590067089471997,0.8414024065821923,1.8585339999990538
spatial_idw,20,SO2,9.415782110508907,4.859415762042893,0.8057168064278506,1.8585339999990538
spatial_idw,20,NO2,18.954219400920813,13.290187641186298,0.7087445361736414,1.8585339999990538
spatial_idw,20,CO,494.13576362094244,272.83075640117613,0.8164774786807723,1.8585339999990538
spatial_idw,20,O3,18.572696820611547,11.763866770831408,0.8911272966006989,1.8585339999990538
spatial_idw,30,PM2.5,26.60237185097614,14.789231935049092,0.8906515313889752,2.1381442999991123
spatial_idw,30,PM10,37.14738991935978,22.840422680133496,0.8369206606773263,2.1381442999991123
spatial_idw,30,SO2,9.429516460248271,4.884553006446781,0.8040401920229009,2.1381442999991123
spatial_idw,30,NO2,19.190717029480453,13.439035653895969,0.6995501774508761,2.1381442999991123
spatial_idw,30,CO,499.7155398897442,278.0004927971451,0.8163843738337424,2.1381442999991123
spatial_idw,30,O3,19.711510640846495,11.95300116286213,0.8802405118977056,2.1381442999991123
spatial_idw,40,PM2.5,26.997370412836087,15.02456036881737,0.8873554405191161,1.7655443000003288
spatial_idw,40,PM10,37.76747658479118,23.3088308547907,0.8316505216052316,1.7655443000003288
spatial_idw,40,SO2,9.480280317427765,4.948830739190888,0.8014201190444317,1.7655443000003288
spatial_idw,40,NO2,19.59667168447655,13.674416488625871,0.6888037013430033,1.7655443000003288
spatial_idw,40,CO,509.0913747642191,282.58433223047786,0.8063112013571427,1.7655443000003288
spatial_idw,40,O3,19.915541920664232,12.239079257430504,0.8763273318098416,1.7655443000003288
spatial_idw,50,PM2.5,28.120395019974506,15.474832741666557,0.8754256005000444,1.7522974999992584
spatial_idw,50,PM10,39.18271605849732,24.079684205320202,0.8169210970257825,1.7522974999992584
spatial_idw,50,SO2,9.807269530406936,5.129843270553135,0.7880563782827383,1.7522974999992584
spatial_idw,50,NO2,20.22362601980647,14.131006333010093,0.6664763268930731,1.7522974999992584
spatial_idw,50,CO,525.6276182704524,291.09515623257744,0.793835609399167,1.7522974999992584
spatial_idw,50,O3,20.500924390024107,12.582394987754654,0.8692748746204397,1.7522974999992584
spatiotemporal_lowrank,10,PM2.5,28.643663041450495,15.594354011042658,0.8705596460886301,2.4027845000018715
spatiotemporal_lowrank,10,PM10,41.34916044956459,24.365302190908483,0.8022138043984012,2.4027845000018715
spatiotemporal_lowrank,10,SO2,9.322414166541032,4.947094759743613,0.8089909248665509,2.4027845000018715
spatiotemporal_lowrank,10,NO2,18.278644144577164,12.666415915784139,0.7262288264107408,2.4027845000018715
spatiotemporal_lowrank,10,CO,521.1492718795193,284.8285534026642,0.7956290828859012,2.4027845000018715
spatiotemporal_lowrank,10,O3,25.142240131097072,15.08726717845626,0.8008769970944503,2.4027845000018715
spatiotemporal_lowrank,20,PM2.5,28.850941041818107,16.425088374589578,0.8682446308544995,2.6202683999981673
spatiotemporal_lowrank,20,PM10,43.252079074982305,25.92635184414123,0.7735189762330841,2.6202683999981673
spatiotemporal_lowrank,20,SO2,9.990926495277867,5.345389751091507,0.7812571021148019,2.6202683999981673
spatiotemporal_lowrank,20,NO2,19.562936545107345,13.389862983039006,0.689736728894895,2.6202683999981673
spatiotemporal_lowrank,20,CO,550.2250271915775,302.85091707089225,0.7724496682005987,2.6202683999981673
spatiotemporal_lowrank,20,O3,26.29167195589628,15.912646668496016,0.7818247521753795,2.6202683999981673
spatiotemporal_lowrank,30,PM2.5,33.069111236916584,18.32505349906265,0.8310271101240394,2.4977981000010914
spatiotemporal_lowrank,30,PM10,44.504793793425534,27.103474694458473,0.7659245209903683,2.4977981000010914
spatiotemporal_lowrank,30,SO2,11.076449017890509,5.961012205823066,0.7296108471660703,2.4977981000010914
spatiotemporal_lowrank,30,NO2,19.956840083098662,13.759818299773439,0.6750825000530316,2.4977981000010914
spatiotemporal_lowrank,30,CO,579.102281894236,325.25710009588477,0.7534105566362325,2.4977981000010914
spatiotemporal_lowrank,30,O3,27.56599498874747,16.575947561335287,0.76578351493896,2.4977981000010914
spatiotemporal_lowrank,40,PM2.5,38.88716729107353,22.35963954922589,0.7662885944321808,2.676975999998831
spatiotemporal_lowrank,40,PM10,50.12812543711145,30.78790341782547,0.7034221131552116,2.676975999998831
spatiotemporal_lowrank,40,SO2,12.395607417743237,6.807070468670034,0.6605088053385801,2.676975999998831
spatiotemporal_lowrank,40,NO2,20.94039889861676,14.413308189113668,0.6446636063377771,2.676975999998831
spatiotemporal_lowrank,40,CO,632.4278491121809,356.8984132269429,0.7010937478787366,2.676975999998831
spatiotemporal_lowrank,40,O3,28.078832183385334,17.71935298701844,0.7541628252629383,2.676975999998831
spatiotemporal_lowrank,50,PM2.5,44.00521890763415,26.38790036428719,0.6949336263008079,2.6464517999993404
spatiotemporal_lowrank,50,PM10,54.81516984132418,34.395746898270914,0.6416967433400818,2.6464517999993404
spatiotemporal_lowrank,50,SO2,13.966697401847227,7.740151021186323,0.5701552991089511,2.6464517999993404
spatiotemporal_lowrank,50,NO2,22.798571188144614,15.943929999590804,0.5761385942783139,2.6464517999993404
spatiotemporal_lowrank,50,CO,706.5454555887642,407.40825220949466,0.6274903596606833,2.6464517999993404
spatiotemporal_lowrank,50,O3,31.825376952778804,20.296239815555786,0.6849646475967202,2.6464517999993404
