method,model,severity,seed,rmse,mae,r2,train_time_sec
temporal,lightgbm,30,5,22.997076098723532,13.961725913576535,0.9205583234814928,2.099826800000301
temporal,lightgbm,40,1,23.63771869122904,14.310880332242503,0.9160705695591542,2.2153885000006994
temporal,lightgbm,40,2,24.019763339765245,14.380879117251874,0.9133356259909741,1.9809387999994215
temporal,lightgbm,40,3,23.935782622661396,14.38703895301106,0.913940578907164,1.8798362000015914
temporal,lightgbm,40,4,23.89109000886573,14.373311597741443,0.914261657162426,1.8789630999999645
temporal,lightgbm,40,5,23.825526029306566,14.368097262579314,0.9147315924951196,1.9650895000013406
temporal,lightgbm,50,1,25.196612066675932,14.940888653231278,0.9046353420882247,1.7245048999975552
temporal,lightgbm,50,2,25.182098298311118,14.890870747106398,0.9047451744669766,1.709481699999742
temporal,lightgbm,50,3,25.250249258772584,14.893499599927035,0.9042288956319376,1.7225198999985878
temporal,lightgbm,50,4,25.264429562664315,14.91531170495665,0.904121297113768,1.6226401999992959
temporal,lightgbm,50,5,25.07762974758172,14.89867970698607,0.9055338690543191,1.6410290999992867
temporal,xgboost,10,1,22.429013499113136,13.619430746745206,0.9244345103528872,4.7142294999976
temporal,xgboost,10,2,22.489986848468302,13.652037991754844,0.9240231018238405,4.432779200000368
temporal,xgboost,10,3,22.85205838589376,13.68008170367625,0.9215570701627089,4.403511000000435
temporal,xgboost,10,4,22.4844714139723,13.647846392777696,0.9240603623366761,4.468993099999352
temporal,xgboost,10,5,22.32125178920898,13.594783385998175,0.9251588850043453,4.333686399997532
temporal,xgboost,20,1,23.060203882566185,13.801246247818804,0.9201215844711923,3.826036099999328
temporal,xgboost,20,2,23.157683119005355,13.839339986016535,0.9194448389950877,3.9442402999993647
temporal,xgboost,20,3,23.006124818149857,13.795133479150776,0.9204957949355611,3.7308458000006794
temporal,xgboost,20,4,23.0226560025999,13.80750135581692,0.9203814974702265,3.783448900001531
temporal,xgboost,20,5,22.782963999689365,13.739581465491336,0.9220307055983634,3.6734896000016306
temporal,xgboost,30,1,22.783315661832006,13.903218181869493,0.922028298619119,3.9062983999974676
temporal,xgboost,30,2,22.528991358886056,13.85075176227685,0.9237593389774498,3.5075510000024224
temporal,xgboost,30,3,22.960023514801875,13.928017062962745,0.920814108007644,3.3837002999971446
temporal,xgboost,30,4,22.80348294982073,13.91948600286589,0.9218901998681412,3.331740199999331
temporal,xgboost,30,5,22.65404765849454,13.876022001191066,0.9229105804155122,3.2283456999975897
temporal,xgboost,40,1,23.730179363771665,14.29409847871104,0.915412693143349,2.764011000002938
temporal,xgboost,40,2,23.543341487558614,14.268599023990731,0.9167394337674736,2.6791446000024735
temporal,xgboost,40,3,23.60428783829763,14.229478405154072,0.9163078046609228,2.7551793000020552
temporal,xgboost,40,4,23.81930170002318,14.285964071705385,0.9147761387786634,2.7570108999971126
temporal,xgboost,40,5,23.621754128150638,14.262092809481503,0.9161839006492457,2.715532500002155
temporal,xgboost,50,1,25.537307938404645,14.911691093084572,0.9020389609399795,2.741880100002163
temporal,xgboost,50,2,25.246395098033755,14.807230772185388,0.9042581301203447,2.5686514000008174
temporal,xgboost,50,3,25.38808107456781,14.840003465079679,0.9031804835641115,2.55819479999991
temporal,xgboost,50,4,25.195701000040355,14.834808761775983,0.9046422384111927,2.5738702999988163
temporal,xgboost,50,5,25.328343854945967,14.816663964585238,0.9036355730409197,2.871260200001416
